id,type,domain,enabled,date_added,date_modified,comment
132,1,unificationfrance.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
133,1,termpaperwarehouse.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
134,1,militarybenefits.info,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
135,1,easypeasyandfun.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
136,1,al3rba42a.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
137,1,maranhaoesportes.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
138,1,desktopnexus.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
139,1,ealancom.yoo7.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
140,1,evilgeniusmusic.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
141,1,artistdirect.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
142,1,t3beer.ahlamontada.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
143,1,celebritytoob.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
144,1,udn.com.tw,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
145,1,livesportshq.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
146,1,konspektu.at.ua,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
147,1,stream-tv-series.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
148,1,projectfree-tv.to,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
149,1,anime-joy.tv,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
150,1,expedia.co.jp,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
151,1,jav720p.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
152,1,expedia.co.nz,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
153,1,elist10.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
154,1,mighty1090.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
155,1,geourdu.co,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
156,1,crichd.co,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
157,1,watch-series-tv.to,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
158,1,kylelandry.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
159,1,rapeton.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
160,1,ebadalrhman.yoo7.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
161,1,wotif.co.nz,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
162,1,starkvilledailynews.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
163,1,freetvall.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
164,1,videograbby.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
165,1,snow-board.tv,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
166,1,expedia.fi,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
